433106 Sector 7  113203 1.25785 1.34091
433107 Sector 0  160360 7.09602 0.601792
433107 Sector 1  153988 7.02266 0.607184
433107 Sector 2  147167 7.2683 0.662991
433107 Sector 3  117683 7.25743 0.830757
433107 Sector 4  132893 1.99403 0.75615
433107 Sector 5  164361 2.72845 0.589195
433107 Sector 6  133835 1.65953 1.53776
433107 Sector 7  354961 1.32217 1.33791
433110 Sector 0  106475 7.06161 0.633527
433110 Sector 1  103058 6.9831 0.633056
433110 Sector 2  98014 7.24421 0.685565
433110 Sector 3  74703.7 7.23964 0.834192
433110 Sector 4  87069.1 1.93401 0.817554
433110 Sector 5  109525 2.66112 0.612603
433110 Sector 6  113332 1.46643 1.57679
433110 Sector 7  194125 1.18046 1.61001
433111 Sector 0  69703.7 6.85847 0.585367
433111 Sector 1  66636.2 6.78696 0.601845
433111 Sector 2  63792.7 7.02884 0.640741
433111 Sector 3  49097 7.00955 0.775121
433111 Sector 4  58486.7 1.76538 0.718893
433111 Sector 5  69623.9 2.4847 0.592358
433111 Sector 6  53049.9 1.52635 1.60149
433111 Sector 7  146113 1.04658 1.44562
433112 Sector 0  123916 6.98408 0.582025
433112 Sector 1  118572 6.91128 0.598724
433112 Sector 2  111573 7.18665 0.664854
433112 Sector 3  85985.1 7.1827 0.795792
433112 Sector 4  102472 1.8873 0.738474
433112 Sector 5  125673 2.59392 0.573462
433112 Sector 6  93769.1 1.61409 1.57488
433112 Sector 7  251805 1.14823 1.44469
433113 Sector 0  12767.4 6.87078 0.583364
433113 Sector 1  12285.6 6.80768 0.596311
433113 Sector 2  11550.1 7.0644 0.665899
433113 Sector 3  8900.27 7.01861 0.781665
433113 Sector 4  10463.4 1.74571 0.73611
433113 Sector 5  12955.5 2.48875 0.58011
433113 Sector 6  10182.3 1.37597 1.609
433113 Sector 7  26165.9 0.827156 1.5385
433114 Sector 0  152415 7.01517 0.577685
433114 Sector 1  144826 6.95219 0.605661
433114 Sector 2  137576 7.21729 0.659351
433114 Sector 3  105869 7.20581 0.790941
433114 Sector 4  125727 1.91135 0.738091
433114 Sector 5  152654 2.65627 0.589466
